0,1,2
10873,1,bi_manager
3207,0,Virtue Analytics - Data Analyst
3207,1,data_analysis
3207,1,r
3207,1,excel
3207,1,python_microsoft_office
3207,1,analytical_thinking
3207,1,testing
3207,1,designing
3207,1,managing
2816,0,Data Analyst
2816,1,data_analysis
2816,1,data_mapping
2816,1,written_communications
2816,1,agile
2816,1,excel
2816,1,verbal
2816,1,sql
2816,1,interpersonal_skills
2585,0,Senior Staff Engineer(Java / C and Big Data)
2585,1,core_java
2585,1,nosql
2585,1,rest
2585,1,software_development
2585,1,big_data
2585,1,aws
2585,1,spring
2585,1,machine_learning
9571,0,Sr . Product Designer
9571,1,product_strategy
9571,1,front_end
9571,1,product_manager
9571,1,ui
9571,1,problem_solving
9571,1,product_designer
9571,1,prototyping
9571,1,visual_design
10988,0,MLOps DevOps Engineer
10988,1,azure
10988,1,golang
10988,1,jenkins
10988,1,machine_learning
10988,1,learning
10988,1,python
10988,1,ansible
10988,1,saas
11014,0,Software Engineering Manager
11014,1,django
11014,1,software_architect
11014,1,full_stack_development
11014,1,micros_services_architecture
11014,1,nosql
11014,1,web_application
11014,1,big_data
11014,1,python
4332,0,Cloud Data Architecture Application Developer
4332,1,it_skills
4332,1,java
4332,1,python
4332,1,cloud
4332,1,big_data
4332,1,aws
4332,1,azure
4332,1,business_process
7685,0,Sr. Business Marketing Analyst -Google Analytics - WFH
7685,1,marketing_analyst
7685,1,google_stack_reporting
7685,1,google_analytics
7685,1,marketing_analytics
7685,1,data_analytics
7685,1,data_analyst
7685,1,google_data_studio
7685,1,campaign_analytics
837,0,Data Scientist-Predictive Modelling
837,1,teradata_data_science
837,1,oracle
837,1,statistical_modeling
837,1,python
837,1,teradata
837,1,machine_learning
837,1,r
837,1,sql
5035,0,BIG DATA Developer
5035,1,big_data
5035,1,hdfs
5035,1,linux
5035,1,hive
5035,1,hadoop
5035,1,java
5035,1,sql_apis
5035,1,spark
9450,0,Principal Java Cloud Full Stack Developer
9450,1,it_skills
9450,1,java
9450,1,software_development
9450,1,machine_learning
9450,1,artificial_intelligence
9450,1,cloud
9450,1,devops
9450,1,computer_science
4028,0,Senior Big Data Developer - Data Warehousing/Business Intelligence
4028,1,it_skills
4028,1,java
4028,1,python
4028,1,testing
4028,1,devops
4028,1,css
4028,1,javascript
4028,1,data_mart_development
3652,0,SAP BusinessObjects Data Services Data Platform Engineer
3652,1,communications
3652,1,sap_bods
3652,1,sap_data_&_development
3652,1,sap_businessobjects_data_services
3652,1,bods
3652,1,pl_sql_enterprise_hana
3652,1,it_skills
3652,1,sap
9732,0,Senior Software Engineer
9732,1,application_development
9732,1,django
9732,1,hadoop
9732,1,big_data
9732,1,spark
9732,1,aws
9732,1,technical_writing
9732,1,problem_solving_skills
7885,0,Senior Business Analyst
7885,1,relationship_management
7885,1,business_analyst
7885,1,data_science
7885,1,big_data_analytics
7885,1,consulting
7885,1,relationship
7885,1,power_bi
7885,1,data_visualization
4398,0,Senior Big Data Engineer
4398,1,bigdata_technologies
4398,1,spark
4398,1,kibana
4398,1,analytical
4398,1,powerbi
4398,1,pyspark
4398,1,scikit
4398,1,tableau
4075,0,Senior Data Systems Specialist
4075,1,data_analytics
4075,1,data_systems_specialist
4075,1,dba
4075,1,microsoft_power_bi_platform
4075,1,big_data
4075,1,data_lake
4075,1,data_base_administration
8020,0,Advisory Services Analyst
8020,1,sdlc
8020,1,it_skills
8020,1,python
8020,1,project_management
8020,1,tableau
8020,1,bpo
8020,1,project_management
8020,1,r
9697,0,Senior Software Engineer - Machine Learning
9697,1,computer_science
9697,1,data_analysis
9697,1,international_travel
9697,1,machine_learning
9697,1,data_structures
9697,1,silicon
9697,1,mathematics
9697,1,microsoft
4421,0,Data Engineer - ETL/Python/Airflow
4421,1,airflow
4421,1,etl
4421,1,python
4421,1,it_skills
4421,1,testing
4421,1,cloud
4421,1,apache_airflow
4421,1,bigquery
6179,0,Data Annotator Intern
6179,1,data_science
6179,1,team_lead
6179,1,excel
6179,1,banking
6179,1,problem_solving
6179,1,payments
6179,1,leadership_skills
157,0,Data Scientist
157,1,data_science
157,1,it_skills
157,1,machine_learning
157,1,quantitative_analysis
157,1,data_analysis
157,1,data_mining
157,1,predictive_modeling
157,1,statistical_modeling
11023,0,Azure DevOps Engineer
11023,1,c++
11023,1,automation
11023,1,linux
11023,1,lan
11023,1,active_directory
11023,1,agile
11023,1,windows
11023,1,troubleshooting
4575,0,Data Engineer
4575,1,computer_science
4575,1,service_delivery
4575,1,rdbms
4575,1,cloud
4575,1,olap
4575,1,performance_optimization
4575,1,deployment
4575,1,big_data
1441,0,Analyst - Content and Data Management
1441,1,content
1441,1,data_management
1441,1,written
1441,1,excel
1441,1,communication
1441,1,quality_check
1441,1,content_writing
6196,0,Manager - Data Analytics
6196,1,analytics
6196,1,development
6196,1,assets
6196,1,pre_sales
6196,1,forecasting
6196,1,ip
6196,1,asset_management
6196,1,handling
8278,0,Analyst-Supply chain planning
8278,1,publishing
8278,1,consulting
8278,1,microsoft
8278,1,content_management
8278,1,visual_basic
8278,1,supply_chain_planning
8278,1,master_data_management
8278,1,management
8835,0,Analyst - Analytics Innovation Specialist
8835,1,spss
8835,1,visualization
8835,1,pl/sql
8835,1,r
8835,1,scala
8835,1,hadoop
8835,1,analytics_studio
8835,1,ml_analytics
5140,0,Data Engineer (Azure)
5140,1,azure_data_factory
5140,1,azure_databricks
5140,1,data_warehousing
5140,1,sql
5140,1,azure_sql_warehouse
5140,1,azure_analysis_services
5140,1,spark
5140,1,adf
4786,0,Data Architect ( GCP / AWS )
4786,1,rdbms
4786,1,data_security
4786,1,risk_analytics
4786,1,data_quality
4786,1,gaming
4786,1,financial_services
4786,1,sql
4786,1,python
9278,0,Business Intelligence (BI) Analyst
9278,1,software_installation
9278,1,linux
9278,1,networking
9278,1,bi_analyst
9278,1,hadoop
9278,1,manager_technology
9278,1,business_intelligence
9278,1,troubleshooting
8615,0,Senior Technical Recruiter
8615,1,backend
8615,1,github
8615,1,front_end
8615,1,data_science
8615,1,devops
8615,1,manager_technology
8615,1,e-commerce
8615,1,analytics
1963,0,Data Operations Analyst II
1963,1,sql
1963,1,reference_data
1963,1,snowflake
1963,1,master_data_management
1963,1,big_data
1963,1,data_analysis
1963,1,data_operations
1963,1,aws
10775,0,Benovymed Healthcare-AVP/Director/Regional Manager-Business Operations
10775,1,business_management
10775,1,sales
10775,1,mental_health
10775,1,diabetes
10775,1,cancer_diseases
10775,1,heart_disease
10775,1,marketing
10775,1,copd
8359,0,Apache Spark Application Developer
8359,1,business_process
